"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"8/09/2010","Pin","Purchase With Pin Pin","36.85","debit","Uncategorized","Personal","",""
"8/09/2010","Pin","Purchase With Pin Pin","33.27","debit","Uncategorized","Personal","",""
"8/09/2010","Pin","Purchase With Pin Pin","46.07","debit","Uncategorized","Personal","",""
"8/09/2010","Pin","Purchase With Pin Pin","8.47","debit","Uncategorized","Personal","",""
"8/09/2010","Deposit","Deposit","814.00","credit","Income","CD","",""
"8/09/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","38.18","credit","Income","CD","",""
"8/06/2010","Nordstrom","Purchase With Pin Nordstrom 002 71seattle Wa","49.20","debit","Clothing","Personal","",""
"8/06/2010","Ballard Loft","Visa Purchase (Non-pin) Ballard Loft Seattle Wa","14.83","debit","Uncategorized","Personal","",""
"8/06/2010","Fred Meyer","Purchase With Pin Fred Meyer Fred Seattle Wa","96.30","debit","Groceries","Personal","",""
"8/06/2010","Media Temple","Visa Purchase (Non-pin) Media Temple 877-578-4000ca","15.00","debit","Business Services","CD","",""
"8/06/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","489.50","credit","Income","CD","",""
"8/05/2010","Amazon","Visa Purchase (Non-pin) Amazon.com Amzn.com/bilwa","124.53","debit","Shopping","Personal","",""
"8/05/2010","Barnes & Noble","Purchase With Pin Barnesnoble 2700seattle Wa","35.35","debit","Books","Personal","",""
"8/05/2010","Gap","Purchase With Pin Gap Usa Seattle Wa","37.78","debit","Clothing","Personal","",""
"8/05/2010","Thai Ku","Visa Purchase (Non-pin) Thaiku Seattle Wa","57.85","debit","Restaurants","Personal","",""
"8/05/2010","Crate & Barrel","Purchase With Pin Crate&barrel-452seattle Wa","16.43","debit","Furnishings","Personal","",""
"8/05/2010","Pottery Barn","Purchase With Pin Pottery Barn Kidseattle Wa","9.84","debit","Furnishings","Personal","",""
"8/05/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","38.18","credit","Income","CD","",""
"8/04/2010","ATM Withdrawal","Atm Withdrawal Us Bank Ballard Seattle Waus1","500.00","debit","Cash & ATM","Personal","",""
"8/04/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","38.18","credit","Income","CD","",""
"8/04/2010","Media Temple","Visa Purchase (Non-pin) Media Temple 877-578-4000ca","52.00","debit","Business Services","CD","",""
"8/04/2010","GoDaddy.com","Godaddy.com 480-5058855 Az","59.98","debit","Business Services","CD Credit","",""
"8/03/2010","iTunes","Visa Purchase (Non-pin) Apl*itunes 866-712-7753ca","31.49","debit","Music","Personal","",""
